id,symbol,timestamp,open,high,low,close,volume,source,created_at
1,TEST,2023-01-01 00:00:00,100.0,101.0,99.0,100.5,1000,test,2025-08-26 13:58:52
2,TEST,2023-01-02 00:00:00,101.0,102.0,100.0,101.5,2000,test,2025-08-26 13:58:52
3,TEST,2023-01-03 00:00:00,102.0,103.0,101.0,102.5,3000,test,2025-08-26 13:58:52
4,TEST,2023-01-04 00:00:00,103.0,104.0,102.0,103.5,4000,test,2025-08-26 13:58:52
5,TEST,2023-01-05 00:00:00,104.0,105.0,103.0,104.5,5000,test,2025-08-26 13:58:52
6,US30,2025-07-28 13:30:00,44946.98047,44946.98047,44793.76953,44931.85156,0,csv,2025-08-26 15:10:19
7,US30,2025-07-28 14:30:00,44931.35156,44946.08984,44846.94922,44894.39063,48450486,csv,2025-08-26 15:10:19
8,US30,2025-07-28 15:30:00,44893.51172,44945.42188,44888.08984,44925.30859,32458991,csv,2025-08-26 15:10:19
9,US30,2025-07-28 16:30:00,44925.21875,44925.21875,44801.26953,44802.78906,30002907,csv,2025-08-26 15:10:19
10,US30,2025-07-28 17:30:00,44802.94922,44833.51953,44739.96094,44771.66016,33542036,csv,2025-08-26 15:10:19
11,US30,2025-07-28 18:30:00,44771.41016,44806.51172,44756.26172,44777.0,42382991,csv,2025-08-26 15:10:19
12,US30,2025-07-28 19:30:00,44775.44922,44841.62109,44767.91016,44838.12891,55146013,csv,2025-08-26 15:10:19
13,US30,2025-07-29 13:30:00,44833.73828,44883.66016,44767.60156,44815.14063,0,csv,2025-08-26 15:10:19
14,US30,2025-07-29 14:30:00,44815.82813,44817.32031,44626.80859,44628.53906,67324369,csv,2025-08-26 15:10:19
15,US30,2025-07-29 15:30:00,44628.42188,44676.58984,44601.82031,44658.69141,51675015,csv,2025-08-26 15:10:19
16,US30,2025-07-29 16:30:00,44658.62109,44743.01953,44629.32813,44703.21094,34202365,csv,2025-08-26 15:10:19
17,US30,2025-07-29 17:30:00,44703.60938,44717.87109,44584.21875,44608.69922,31909055,csv,2025-08-26 15:10:19
18,US30,2025-07-29 18:30:00,44608.64844,44637.73828,44593.48828,44611.01172,39057278,csv,2025-08-26 15:10:19
19,US30,2025-07-29 19:30:00,44611.12109,44647.96094,44568.82813,44638.66016,58023406,csv,2025-08-26 15:10:19
20,US30,2025-07-30 13:30:00,44677.89844,44736.03906,44563.80078,44701.94922,90330580,csv,2025-08-26 15:10:19
21,US30,2025-07-30 14:30:00,44702.37109,44729.01953,44552.42969,44575.25,50880766,csv,2025-08-26 15:10:19
22,US30,2025-07-30 15:30:00,44575.64844,44688.5,44560.03906,44684.94922,37370866,csv,2025-08-26 15:10:19
23,US30,2025-07-30 16:30:00,44684.39844,44686.92969,44638.39063,44644.30078,31910613,csv,2025-08-26 15:10:19
24,US30,2025-07-30 17:30:00,44644.26953,44696.55078,44623.30078,44678.53125,35075590,csv,2025-08-26 15:10:19
25,US30,2025-07-30 18:30:00,44678.51172,44739.53125,44261.71094,44312.66016,66772019,csv,2025-08-26 15:10:19
26,US30,2025-07-30 19:30:00,44311.78906,44501.30859,44287.12109,44474.35156,55164072,csv,2025-08-26 15:10:19
27,US30,2025-07-31 13:30:00,44665.82031,44665.82031,44435.67969,44523.25,151977294,csv,2025-08-26 15:10:19
28,US30,2025-07-31 14:30:00,44524.0,44565.05078,44299.37109,44358.07813,81715549,csv,2025-08-26 15:10:19
29,US30,2025-07-31 15:30:00,44356.96094,44489.91016,44355.58984,44484.14844,52583869,csv,2025-08-26 15:10:19
30,US30,2025-07-31 16:30:00,44484.71875,44521.46094,44280.28125,44311.19141,51334158,csv,2025-08-26 15:10:19
31,US30,2025-07-31 17:30:00,44311.42188,44391.05859,44159.94922,44328.80078,62419396,csv,2025-08-26 15:10:19
32,US30,2025-07-31 18:30:00,44328.03125,44385.08984,44213.64844,44217.64063,60160427,csv,2025-08-26 15:10:19
33,US30,2025-07-31 19:30:00,44218.10938,44262.30859,44049.01172,44140.44922,77609532,csv,2025-08-26 15:10:19
34,US30,2025-08-01 13:30:00,43781.76953,43781.76953,43340.67969,43592.23047,0,csv,2025-08-26 15:10:19
35,US30,2025-08-01 14:30:00,43592.96875,43639.78125,43481.5,43487.23828,90949929,csv,2025-08-26 15:10:19
36,US30,2025-08-01 15:30:00,43487.87109,43729.62109,43482.76172,43684.98828,62284295,csv,2025-08-26 15:10:19
37,US30,2025-08-01 16:30:00,43685.10156,43688.14844,43460.5,43469.17188,61831464,csv,2025-08-26 15:10:19
38,US30,2025-08-01 17:30:00,43469.12109,43568.16016,43420.19141,43554.96094,67942276,csv,2025-08-26 15:10:19
39,US30,2025-08-01 18:30:00,43554.82813,43654.25,43535.19922,43585.82031,64459036,csv,2025-08-26 15:10:19
40,US30,2025-08-01 19:30:00,43585.57813,43669.98047,43532.17969,43583.51953,69910188,csv,2025-08-26 15:10:19
41,US30,2025-08-04 13:30:00,43724.01953,44028.76953,43724.01953,44016.05078,0,csv,2025-08-26 15:10:19
42,US30,2025-08-04 14:30:00,44018.62891,44110.08984,43974.78125,44047.80078,63134987,csv,2025-08-26 15:10:19
43,US30,2025-08-04 15:30:00,44047.35938,44092.12891,44006.51953,44042.87891,46968541,csv,2025-08-26 15:10:19
44,US30,2025-08-04 16:30:00,44042.39063,44168.0,44039.5,44135.39844,36680261,csv,2025-08-26 15:10:19
45,US30,2025-08-04 17:30:00,44136.10156,44149.12109,44050.14063,44083.10156,41290293,csv,2025-08-26 15:10:19
46,US30,2025-08-04 18:30:00,44082.87109,44177.75,44078.37891,44143.32031,53756393,csv,2025-08-26 15:10:19
47,US30,2025-08-04 19:30:00,44143.85938,44188.35938,44119.14844,44177.35938,61641441,csv,2025-08-26 15:10:19
48,US30,2025-08-05 13:30:00,44200.07031,44308.5,44018.32031,44063.05859,0,csv,2025-08-26 15:10:19
49,US30,2025-08-05 14:30:00,44061.92188,44071.26172,43923.80859,44038.71094,71603801,csv,2025-08-26 15:10:19
50,US30,2025-08-05 15:30:00,44040.35938,44144.10938,44017.64844,44141.14063,44740247,csv,2025-08-26 15:10:19
51,US30,2025-08-05 16:30:00,44141.21094,44238.12109,44085.51172,44229.92969,37295623,csv,2025-08-26 15:10:19
