Datetime,Open,High,Low,Close,Volume,EMA_21,EMA_44,RSI_14,ATR_14,Engulfing_Signal,Price_Position,Volume_Ratio,Label
2023-08-25 14:30:00+00:00,34121.44922,34243.94141,34029.21875,34241.89844,0,34241.89844,34241.89844,,,0,,,
2023-08-25 15:30:00+00:00,34241.53906,34296.69141,34161.98047,34296.64844,23763182,34246.87571,34244.33177,,,0,,,
2023-08-25 16:30:00+00:00,34297.16016,34313.46875,34218.07031,34241.28125,21866942,34246.36712,34244.19619,,,-1,,,
2023-08-25 17:30:00+00:00,34242.51172,34403.19141,34205.37109,34399.60156,21251282,34260.29753,34251.1031,,,0,,,
2023-08-25 18:30:00+00:00,34399.80859,34441.91016,34351.73828,34398.35938,25758911,34272.8486,34257.64782,,,0,,,
2023-08-25 19:30:00+00:00,34398.46875,34421.30078,34317.26953,34346.37109,32381891,34279.53247,34261.59108,,,0,,,
2023-08-28 13:30:00+00:00,34441.64063,34652.91016,34441.64063,34611.71875,0,34309.73122,34277.15231,,,0,,,
2023-08-28 14:30:00+00:00,34612.5,34616.53125,34502.28125,34516.32813,25349327,34328.51276,34287.78234,,,0,,,
2023-08-28 15:30:00+00:00,34516.67188,34557.07031,34485.57031,34502.37891,21670156,34344.31877,34297.31997,,,0,,,
2023-08-28 16:30:00+00:00,34502.32813,34609.53906,34488.37109,34575,19507980,34365.28979,34309.6613,,,1,,,
2023-08-28 17:30:00+00:00,34574.87109,34586.14063,34447.67188,34455.80078,19907493,34373.51806,34316.15639,,,0,,,
2023-08-28 18:30:00+00:00,34455.83984,34525.42188,34442.73047,34507.5,20534504,34385.69824,34324.66055,,,0,,,
2023-08-28 19:30:00+00:00,34506.55078,34609.21094,34498.73828,34558.10156,32012138,34401.37127,34335.03571,,,0,,,
2023-08-29 13:30:00+00:00,34531.12109,34709.46875,34531.12109,34686,48182728,34427.24661,34350.63412,69.85476976,140.0209263,0,,,
2023-08-29 14:30:00+00:00,34686.17969,34732.94922,34607.71875,34697.42969,32652813,34451.80871,34366.04726,70.15973447,133.6286272,0,,,
2023-08-29 15:30:00+00:00,34697.66016,34807.16016,34697.66016,34799.48047,23893024,34483.41523,34385.31096,71.35883507,131.844308,0,,,
