date,open,high,low,close
2024-11-06 08:00:00,197.41000,197.78000,197.35500,197.74001
2024-11-06 09:00:00,197.76100,197.78349,197.47000,197.59000
2024-11-06 10:00:00,197.55000,197.88000,197.48000,197.52000
2024-11-06 11:00:00,197.50999,198.25,197.34000,198.19000
2024-11-06 12:00:00,198.17999,198.38000,198.050003,198.30000
2024-11-06 13:00:00,198.30000,199.050003,198.20000,198.82001
2024-11-06 14:00:00,198.82001,199.059998,198.22000,198.39999
2024-11-06 15:00:00,198.41000,198.53999,198.14999,198.28000
2024-11-06 16:00:00,198.28000,198.28999,197.89000,198.17000
2024-11-06 17:00:00,198.17000,198.44000,197.88000,198.16000
2024-11-06 18:00:00,198.17000,198.35001,197.88000,198.059998
2024-11-06 19:00:00,198.059998,198.88000,198.039993,198.82001
2024-11-06 20:00:00,198.85001,198.89999,198.46001,198.67999
2024-11-06 21:00:00,198.67000,198.83000,198.49001,198.5
2024-11-06 22:00:00,198.49001,198.55000,198.17000,198.27000
2024-11-06 23:00:00,198.27000,198.56000,198.23000,198.48000
2024-11-07 00:00:00,198.49001,198.57001,198.17000,198.50999
2024-11-07 01:00:00,198.5,198.62000,198.20000,198.38000
2024-11-07 02:00:00,198.39000,198.96001,198.27600,198.96001
2024-11-07 03:00:00,198.95000,199.39999,198.74001,199.36000
2024-11-07 04:00:00,199.36000,199.52000,199.23000,199.36000
2024-11-07 05:00:00,199.36000,199.5,199.25,199.31000
2024-11-07 06:00:00,199.31000,199.32201,199.0099945,199.089996
2024-11-07 07:00:00,199.089996,199.27000,199.080002,199.19850
2024-11-07 08:00:00,199.20000,199.28000,199.14000,199.17000
2024-11-07 09:00:00,199.16000,199.17000,198.94000,199.050003
2024-11-07 10:00:00,199.029999,199.059998,198.71001,198.81000
2024-11-07 11:00:00,198.78999,199.32001,198.75999,199.11000
2024-11-07 12:00:00,199.12000,199.28999,198.94000,199.14999
2024-11-07 13:00:00,199.17000,199.45000,199,199.39999
2024-11-07 14:00:00,199.39000,199.56000,199.34000,199.41000
2024-11-07 15:00:00,199.42999,199.48000,198.97000,199.20000
2024-11-07 16:00:00,199.21001,199.42999,199.12000,199.14000
2024-11-07 17:00:00,199.13000,199.37000,199.070007,199.070007
2024-11-07 18:00:00,199.059998,199.16000,198.91000,199.13000
2024-11-07 19:00:00,199.13000,199.25,198.98000,199.13000
2024-11-07 20:00:00,199.13000,199.16000,198.70000,198.70000
2024-11-07 21:00:00,198.70000,198.85001,198.57851,198.75999
2024-11-07 22:00:00,198.75999,198.88000,198.70000,198.82001
2024-11-07 23:00:00,198.81000,199.38000,198.73000,199.23000
2024-11-08 00:00:00,199.23000,199.38000,199.0099945,199.13000
2024-11-08 01:00:00,199.12000,199.23000,198.92000,199.059998
2024-11-08 02:00:00,199.070007,199.12000,198.62000,198.80000
2024-11-08 03:00:00,198.80000,198.95000,198.62000,198.83000
2024-11-08 04:00:00,198.83000,198.85001,198.67000,198.77000
2024-11-08 05:00:00,198.75999,198.78000,198.35001,198.47000
2024-11-08 06:00:00,198.46001,198.75101,198.36000,198.47000
2024-11-08 07:00:00,198.48000,198.67999,198.32001,198.44000
2024-11-08 08:00:00,198.45000,198.64999,198.35001,198.63000
2024-11-08 09:00:00,198.62000,198.67000,198.31000,198.64000
2024-11-08 10:00:00,198.66000,198.89400,198.60001,198.88000
2024-11-08 11:00:00,198.86000,198.92999,198.56000,198.74001
2024-11-08 12:00:00,198.74001,198.89000,198.55901,198.62000
2024-11-08 13:00:00,198.61000,198.64000,198.44000,198.53999
2024-11-08 14:00:00,198.53000,198.56000,198.080002,198.12000
2024-11-08 15:00:00,198.12000,198.12000,197.83000,198.059998
2024-11-08 16:00:00,198.070007,198.35001,198.050003,198.17999
2024-11-08 17:00:00,198.19000,198.31000,198.0099945,198.12000
2024-11-08 18:00:00,198.12000,198.32001,197.87000,197.89000
2024-11-08 19:00:00,197.89000,197.94000,197.30000,197.39000
2024-11-08 20:00:00,197.39999,197.67999,197.31000,197.37000
2024-11-08 21:00:00,197.36000,197.48000,197.12000,197.25
2024-11-08 22:00:00,197.25999,197.71001,197.24001,197.67999
2024-11-08 23:00:00,197.64000,197.70351,197.24001,197.24001
2024-11-09 00:00:00,197.23000,197.69000,197.17000,197.67999
2024-11-09 01:00:00,197.69000,197.83000,197.36000,197.60001
2024-11-09 02:00:00,197.56000,197.64000,197.050003,197.22000
2024-11-09 03:00:00,197.21001,197.37000,196.86000,196.88000
2024-11-09 04:00:00,196.88000,197,196.75,196.88000
2024-11-09 05:00:00,196.88000,197.14751,196.88000,197.059998
2024-11-09 06:00:00,197.059998,197.24001,197.050003,197.14999
2024-11-09 07:00:00,197.17000,197.24001,197.039993,197.059998
2024-11-09 08:00:00,197.059998,197.24001,197.0099945,197.20000
2024-11-11 09:00:00,197.14406,197.25999,196.96001,197.11000
2024-11-11 10:00:00,197.14000,197.55000,197.14000,197.49001
2024-11-11 11:00:00,197.49001,197.78000,197.44000,197.77000
2024-11-11 12:00:00,197.77650,197.94000,197.73000,197.94000
2024-11-11 13:00:00,197.94000,198.19000,197.85001,198.14999
2024-11-11 14:00:00,198.14999,198.20000,198.059998,198.17000
2024-11-11 15:00:00,198.17000,198.31000,198.059998,198.30000
2024-11-11 16:00:00,198.31000,198.42650,198.20000,198.28999
2024-11-11 17:00:00,198.30000,198.32249,198.13000,198.16000
2024-11-11 18:00:00,198.14999,198.24001,197.84351,198.12000
2024-11-11 19:00:00,198.12000,198.46001,198.10001,198.35001
2024-11-11 20:00:00,198.36000,198.44000,197.94000,198.19000
2024-11-11 21:00:00,198.17999,198.36000,198,198.0099945
2024-11-11 22:00:00,198,198.17999,197.94000,198.13000
2024-11-11 23:00:00,198.13000,198.25,198.020004,198.10001
2024-11-12 00:00:00,198.11000,198.19000,197.86000,197.86000
